RecordedAtTime,ItemIdentifier,BlockRef,ConfidenceLevel,DestinationAimedArrivalTime,DestinationName,DatedVehicleJourneyRef,LineRef,StopPointName,AimedArrivalTime,LatestExpectedArrivalTime,At_stop_Lat,At_stop_Lon,OperatorRef,VehicleLocation_Lat,VehicleLocation_Lon
2021-02-05 07:01:09,5e5789db-7273-41ff-ae37-ea8cde3aa91e,368,2,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:19:17,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87358,138.6561
2021-02-05 07:02:34,fcf3e9d2-6bcb-4969-9bea-8f5a281c87f7,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
2021-02-05 06:59:15,af3ae3da-2d63-4a6c-9e95-3bac7bcec8f3,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:56,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86181,138.6572
2021-02-05 07:01:09,3a0bbb9f-39f3-4225-b660-f3b82d1cdf10,368,2,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:19:17,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87358,138.6561
2021-02-05 07:02:34,a6c58964-d7b8-4e1c-a806-5cc03ca643da,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
2021-02-05 07:05:56,0b0f0245-041f-4ce3-8fab-f08326f52104,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:09:31,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87635,138.6435
2021-02-05 07:01:09,c1c92d87-4220-491d-9846-2f3f560eb5ca,368,2,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:19:17,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87358,138.6561
2021-02-05 07:02:34,8b99105d-8c4a-4bcc-a472-a047d9667450,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
2021-02-05 07:05:56,ee454f6d-0051-402c-acb4-4eb4316d2703,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:09:31,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87635,138.6435
2021-02-05 07:06:59,f7c8651c-f738-4a1a-b18c-ffb8b489b55f,368,1,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:19:54,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.8686,138.6614
2021-02-05 07:02:34,951bd30b-6c63-4aef-ac59-f49ebf37e217,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
2021-02-05 07:05:56,cc3fa8d9-4c43-4d20-b102-abf63bc852fd,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:09:31,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87635,138.6435
2021-02-05 07:08:14,baed1dae-4f5e-4133-b376-c1c6271dd04b,368,1,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:21:03,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86913,138.6611
2021-02-05 07:02:34,9fe0e40f-92f8-4ba3-9f35-e0c05d6df8f8,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
2021-02-05 07:08:35,6e95aa90-941d-4586-b249-0e059ef5bd28,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:10:07,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87911,138.6353
2021-02-05 07:09:05,bd86ea05-751d-4fb2-9e62-0fe544a6d102,368,1,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:21:35,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86753,138.6624
2021-02-05 07:02:34,ff83bcd4-d68a-455e-aa28-1de7e4f4aaeb,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
2021-02-05 07:09:05,b6e5ef97-1115-492f-a228-51f3123809f3,368,1,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:21:35,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86753,138.6624
2021-02-05 07:02:34,5ef0108c-5e6d-432c-9a11-0d89bd573645,3236,1,2021-02-05 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-05 07:23:09,2021-02-05 07:21:39,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86724,138.6774
