RecordedAtTime,ItemIdentifier,BlockRef,ConfidenceLevel,DestinationAimedArrivalTime,DestinationName,DatedVehicleJourneyRef,LineRef,StopPointName,AimedArrivalTime,LatestExpectedArrivalTime,At_stop_Lat,At_stop_Lon,OperatorRef,VehicleLocation_Lat,VehicleLocation_Lon
2021-02-12 07:08:45,1a278d4b-96ce-4ebb-a243-d9cc148c0421,3236,1,2021-02-12 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-12 07:23:09,2021-02-12 07:20:37,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86833,138.6617
2021-02-12 07:07:45,8ca70ee9-d0cb-408d-b873-57b239883026,368,1,2021-02-12 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-12 07:21:29,2021-02-12 07:21:35,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86898,138.6609
2021-02-12 07:08:45,1a278d4b-96ce-4ebb-a243-d9cc148c0421,3236,1,2021-02-12 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-12 07:23:09,2021-02-12 07:20:37,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86833,138.6617
2021-02-12 07:07:45,8ca70ee9-d0cb-408d-b873-57b239883026,368,1,2021-02-12 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-12 07:21:29,2021-02-12 07:21:35,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86898,138.6609
2021-02-12 07:08:45,1a278d4b-96ce-4ebb-a243-d9cc148c0421,3236,1,2021-02-12 08:41:00,Marion,652985,W90,15A Wilpena Ave,2021-02-12 07:23:09,2021-02-12 07:20:37,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86833,138.6617
2021-02-12 07:07:45,8ca70ee9-d0cb-408d-b873-57b239883026,368,1,2021-02-12 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-12 07:21:29,2021-02-12 07:21:35,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86898,138.6609
